2|0
2|1
2|2
2|3
2|4
2|5
2|6
2|7
2|8
2|9
2|10
3|11
3|5
3|12
3|3
3|13
3|14
3|15
3|7
3|16
3|17
3|18
3|19
3|20
4|21
4|22
4|17
4|23
4|24
4|10
4|25
4|26
4|27
4|28
4|29
4|30
4|31
4|32
5|33
5|34
5|35
5|17
5|36
5|16
5|26
5|37
5|38
5|39
5|40
5|41
5|42
5|43
5|44
5|45
5|27
5|46
5|47
5|48
5|49
5|50
5|51
5|52
5|53
5|54
5|55
5|56
5|57
5|58
5|59
5|60
5|61
5|62
5|63
5|64
5|65
5|66
6|50
6|67
6|68
6|69
6|70
6|71
6|39
6|72
6|73
6|74
6|75
6|76
6|77
6|78
6|79
6|80
7|81
7|17
7|82
7|26
7|37
7|83
7|84
7|85
7|86
7|87
7|88
7|42
7|27
7|89
7|48
7|90
7|91
7|92
7|93
7|94
7|95
7|56
7|96
7|97
7|98
